stimulus_id,seed,exemplar,shape_level,shape_family,appendage_level,appendage_family,appendage_count,texture_level,texture_family,colour_level,colour_name,colour_hue_deg,colour_chroma,colour_luminance_Lstar,srgb_r,srgb_g,srgb_b,srgb_relative_luminance,body_area_vector,body_perimeter_vector,body_area_pixels,object_area_pixels,body_bbox_width,body_bbox_height,object_bbox_width,object_bbox_height,svg_path,png_path,body_mask_path,object_mask_path
microbe_00001,74893047,0,0,round,0,none,0,0,smooth,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00001.svg,png/microbe_00001.png,masks/body/microbe_00001.png,masks/object/microbe_00001.png
microbe_00002,1142263544,1,0,round,0,none,0,0,smooth,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.94338405877,885.9224468011288,62656,62656,292.10591666911074,271.6419228537926,292.10591666911074,271.6419228537926,svg/microbe_00002.svg,png/microbe_00002.png,masks/body/microbe_00002.png,masks/object/microbe_00002.png
microbe_00003,1878478511,2,0,round,0,none,0,0,smooth,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.94338405877,885.9128362873266,62659,62659,293.7201435158371,269.57815023264055,293.7201435158371,269.57815023264055,svg/microbe_00003.svg,png/microbe_00003.png,masks/body/microbe_00003.png,masks/object/microbe_00003.png
microbe_00004,1133943190,3,0,round,0,none,0,0,smooth,0,coral,15,48.0,60.0,224,109,125,0.2826524036233139,62280.9433840625,885.1017292176352,62668,62668,287.91350568290756,275.3228009292018,287.91350568290756,275.3228009292018,svg/microbe_00004.svg,png/microbe_00004.png,masks/body/microbe_00004.png,masks/object/microbe_00004.png
microbe_00005,1342096536,0,0,round,0,none,0,0,smooth,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00005.svg,png/microbe_00005.png,masks/body/microbe_00005.png,masks/object/microbe_00005.png
microbe_00006,1012685968,1,0,round,0,none,0,0,smooth,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.94338405877,885.1985807826538,62678,62678,288.9752936663279,274.1489511020058,288.9752936663279,274.1489511020058,svg/microbe_00006.svg,png/microbe_00006.png,masks/body/microbe_00006.png,masks/object/microbe_00006.png
microbe_00007,1386733924,2,0,round,0,none,0,0,smooth,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.9433840625,885.3045325127744,62682,62682,289.03928634035094,274.3221001190279,289.03928634035094,274.3221001190279,svg/microbe_00007.svg,png/microbe_00007.png,masks/body/microbe_00007.png,masks/object/microbe_00007.png
microbe_00008,107962515,3,0,round,0,none,0,0,smooth,1,amber,55,48.0,60.0,206,124,76,0.28058917550343393,62280.94338405505,886.0019798441635,62687,62687,294.271962576536,269.08082328596106,294.271962576536,269.08082328596106,svg/microbe_00008.svg,png/microbe_00008.png,masks/body/microbe_00008.png,masks/object/microbe_00008.png
microbe_00009,236982552,0,0,round,0,none,0,0,smooth,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00009.svg,png/microbe_00009.png,masks/body/microbe_00009.png,masks/object/microbe_00009.png
microbe_00010,746254905,1,0,round,0,none,0,0,smooth,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.94338405877,885.6559348034016,62704,62704,292.3950441959778,270.9017474815794,292.3950441959778,270.9017474815794,svg/microbe_00010.svg,png/microbe_00010.png,masks/body/microbe_00010.png,masks/object/microbe_00010.png
microbe_00011,674178797,2,0,round,0,none,0,0,smooth,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.9433840476,885.3720412582586,62685,62685,290.54601489304497,272.65464382631603,290.54601489304497,272.65464382631603,svg/microbe_00011.svg,png/microbe_00011.png,masks/body/microbe_00011.png,masks/object/microbe_00011.png
microbe_00012,44024308,3,0,round,0,none,0,0,smooth,2,lime,95,48.0,60.0,162,145,56,0.2821770387244846,62280.9433840774,884.8671186292181,62681,62681,286.184447648786,276.7836420714311,286.184447648786,276.7836420714311,svg/microbe_00012.svg,png/microbe_00012.png,masks/body/microbe_00012.png,masks/object/microbe_00012.png
microbe_00013,183198373,0,0,round,0,none,0,0,smooth,3,green,145,48.0,60.0,81,161,94,0.280472207918802,62280.943384066224,885.3541210866883,62686,62686,290.2635730987829,272.87286628789457,290.2635730987829,272.87286628789457,svg/microbe_00013.svg,png/microbe_00013.png,masks/body/microbe_00013.png,masks/object/microbe_00013.png
